Anio,Mes,Consumo,Importacion,Fechas
2000,1,634667.06,,2000-01-01
2000,2,642380.66,,2000-02-01
2000,3,699807.25,,2000-03-01
2000,4,586803.98,,2000-04-01
2000,5,656948.2,,2000-05-01
2000,6,570919.88,,2000-06-01
2000,7,576436.02,,2000-07-01
2000,8,593770.77,,2000-08-01
2000,9,590145.4,,2000-09-01
2000,10,641113.36,,2000-10-01
2000,11,657086.3,,2000-11-01
2000,12,673282.26,,2000-12-01
2001,1,569328.79,566101.99,2001-01-01
2001,2,597749.83,489525.8,2001-02-01
2001,3,736085.97,575559.68,2001-03-01
2001,4,606257.66,437745.42,2001-04-01
2001,5,664082.66,552609.13,2001-05-01
2001,6,559333.03,497855.26,2001-06-01
2001,7,589452.73,302350.02,2001-07-01
2001,8,568546.37,464159.13,2001-08-01
2001,9,533108.39,321952.94,2001-09-01
2001,10,603371.18,438989.55,2001-10-01
2001,11,626156.18,440245.35,2001-11-01
2001,12,664190.18,479983.27,2001-12-01
2002,1,726672.6,500041.32,2002-01-01
2002,2,694344.78,686923.83,2002-02-01
2002,3,656379.29,432538.46,2002-03-01
2002,4,683646.17,424667.36,2002-04-01
2002,5,707165.47,497781.66,2002-05-01
2002,6,667820.71,496826.62,2002-06-01
2002,7,656761.6,636727.84,2002-07-01
2002,8,657099.74,346225.0,2002-08-01
2002,9,653664.6,638933.22,2002-09-01
2002,10,653053.27,703749.81,2002-10-01
2002,11,671401.33,573289.5,2002-11-01
2002,12,676192.45,678749.64,2002-12-01
2003,1,769843.3,797344.38,2003-01-01
2003,2,709783.58,765912.66,2003-02-01
2003,3,786484.49,693942.31,2003-03-01
2003,4,709626.39,873103.1,2003-04-01
2003,5,755982.05,625190.08,2003-05-01
2003,6,641540.08,671882.83,2003-06-01
2003,7,631704.12,822014.55,2003-07-01
2003,8,613428.55,494087.13,2003-08-01
2003,9,582989.47,614913.68,2003-09-01
2003,10,722763.6,433084.99,2003-10-01
2003,11,639828.39,627189.78,2003-11-01
2003,12,652872.45,745524.88,2003-12-01
2004,1,656987.4,762385.45,2004-01-01
2004,2,659540.43,460947.5,2004-02-01
2004,3,746236.84,772128.26,2004-03-01
2004,4,633766.06,809194.95,2004-04-01
2004,5,556369.7,634209.64,2004-05-01
2004,6,560393.48,461381.79,2004-06-01
2004,7,583098.55,467154.31,2004-07-01
2004,8,699610.8,669462.53,2004-08-01
2004,9,612639.57,714039.85,2004-09-01
2004,10,619084.79,655715.05,2004-10-01
2004,11,705298.16,726697.88,2004-11-01
2004,12,761864.3,781266.61,2004-12-01
2005,1,724692.36,663058.79,2005-01-01
2005,2,717116.77,683664.39,2005-02-01
2005,3,802139.58,778645.07,2005-03-01
2005,4,803996.93,708164.74,2005-04-01
2005,5,715360.44,875087.62,2005-05-01
2005,6,681743.36,1041016.72,2005-06-01
2005,7,678614.47,770731.74,2005-07-01
2005,8,693681.13,815435.2,2005-08-01
2005,9,666258.37,229764.74,2005-09-01
2005,10,589830.24,671848.94,2005-10-01
2005,11,701255.47,635553.46,2005-11-01
2005,12,775027.2,1212610.53,2005-12-01
2006,1,750946.36,708730.84,2006-01-01
2006,2,734530.76,767710.63,2006-02-01
2006,3,875047.29,744721.94,2006-03-01
2006,4,711185.23,935306.58,2006-04-01
2006,5,734289.15,822556.45,2006-05-01
2006,6,672428.87,361207.59,2006-06-01
2006,7,684438.7,971716.72,2006-07-01
2006,8,707219.69,603747.33,2006-08-01
2006,9,650791.38,473431.31,2006-09-01
2006,10,683543.13,1220719.64,2006-10-01
2006,11,739181.99,431874.86,2006-11-01
2006,12,776330.26,890336.68,2006-12-01
2007,1,810372.66,818060.57,2007-01-01
2007,2,799394.6,822325.65,2007-02-01
2007,3,956680.19,569451.85,2007-03-01
2007,4,758988.58,850138.11,2007-04-01
2007,5,811703.69,793887.04,2007-05-01
2007,6,720896.77,855757.14,2007-06-01
2007,7,721550.61,1118432.25,2007-07-01
2007,8,736620.9,824047.47,2007-08-01
2007,9,669587.88,497008.84,2007-09-01
2007,10,738702.86,885924.86,2007-10-01
2007,11,779547.05,665114.83,2007-11-01
2007,12,768886.87,812776.59,2007-12-01
2008,1,797668.91,613819.33,2008-01-01
2008,2,794000.25,500922.23,2008-02-01
2008,3,776026.79,1095743.35,2008-03-01
2008,4,807725.77,682042.07,2008-04-01
2008,5,682326.18,710464.76,2008-05-01
2008,6,507662.65,817804.84,2008-06-01
2008,7,544399.26,541486.15,2008-07-01
2008,8,556174.4,713650.52,2008-08-01
2008,9,557802.62,544521.54,2008-09-01
2008,10,617863.13,344273.02,2008-10-01
2008,11,688104.11,809439.42,2008-11-01
2008,12,778953.84,524038.42,2008-12-01
2009,1,800526.47,941535.71,2009-01-01
2009,2,795050.51,914059.4,2009-02-01
2009,3,865981.57,893473.8,2009-03-01
2009,4,822109.74,816840.02,2009-04-01
2009,5,770687.28,621339.93,2009-05-01
2009,6,703815.55,735260.51,2009-06-01
2009,7,740868.09,850806.89,2009-07-01
2009,8,692376.7,842742.17,2009-08-01
2009,9,687435.1,611966.22,2009-09-01
2009,10,775739.56,869366.31,2009-10-01
2009,11,738678.65,894309.88,2009-11-01
2009,12,891670.41,1144960.66,2009-12-01
2010,1,777741.34,905803.65,2010-01-01
2010,2,807692.1,447271.92,2010-02-01
2010,3,1017058.18,947702.88,2010-03-01
2010,4,762770.01,613011.21,2010-04-01
2010,5,721668.18,1086036.16,2010-05-01
2010,6,683236.54,587828.26,2010-06-01
2010,7,721584.6,712889.93,2010-07-01
2010,8,695796.33,637252.29,2010-08-01
2010,9,687553.88,741721.42,2010-09-01
2010,10,745415.51,630692.56,2010-10-01
2010,11,785917.4,565627.54,2010-11-01
2010,12,843762.0,1135293.92,2010-12-01
2011,1,850696.79,1033948.69,2011-01-01
2011,2,819940.5,772775.58,2011-02-01
2011,3,900485.91,707536.31,2011-03-01
2011,4,797527.23,767445.36,2011-04-01
2011,5,803849.53,918940.44,2011-05-01
2011,6,729676.79,553883.42,2011-06-01
2011,7,718255.06,734958.54,2011-07-01
2011,8,699736.08,1014324.28,2011-08-01
2011,9,660384.93,795554.71,2011-09-01
2011,10,672214.93,612133.26,2011-10-01
2011,11,794507.24,575406.48,2011-11-01
2011,12,862318.8,732921.03,2011-12-01
2012,1,814956.72,790123.23,2012-01-01
2012,2,848067.25,887963.98,2012-02-01
2012,3,925065.27,978693.29,2012-03-01
2012,4,792201.73,697871.28,2012-04-01
2012,5,771542.47,833370.09,2012-05-01
2012,6,712464.94,767124.65,2012-06-01
2012,7,699130.04,1021995.9,2012-07-01
2012,8,716720.36,626706.23,2012-08-01
2012,9,632120.37,619651.27,2012-09-01
2012,10,728414.88,463054.77,2012-10-01
2012,11,812523.44,538552.89,2012-11-01
2012,12,848262.93,1324780.96,2012-12-01
2013,1,863769.41,749266.68,2013-01-01
2013,2,808853.97,709843.02,2013-02-01
2013,3,898352.2,832627.57,2013-03-01
2013,4,966103.92,860094.78,2013-04-01
2013,5,827601.25,1202187.85,2013-05-01
2013,6,775187.12,729711.88,2013-06-01
2013,7,732544.52,693160.5,2013-07-01
2013,8,773147.9,505133.44,2013-08-01
2013,9,672125.16,803626.98,2013-09-01
2013,10,800049.12,980327.98,2013-10-01
2013,11,821457.45,903218.47,2013-11-01
2013,12,860351.9,791698.89,2013-12-01
2014,1,917251.54,1595698.56,2014-01-01
2014,2,890362.31,688703.18,2014-02-01
2014,3,1004937.39,1147182.5,2014-03-01
2014,4,972039.42,845051.33,2014-04-01
2014,5,877263.31,1008148.07,2014-05-01
2014,6,733508.7,694920.68,2014-06-01
2014,7,826918.81,845875.86,2014-07-01
2014,8,793694.01,760353.37,2014-08-01
2014,9,728498.84,598145.89,2014-09-01
2014,10,836278.12,762763.24,2014-10-01
2014,11,885713.74,1033873.16,2014-11-01
2014,12,1021378.09,1004032.65,2014-12-01
2015,1,1014706.21,1324421.96,2015-01-01
2015,2,980149.84,955286.02,2015-02-01
2015,3,1142551.06,1164885.97,2015-03-01
2015,4,1011167.74,1130870.79,2015-04-01
2015,5,944316.66,954782.75,2015-05-01
2015,6,880016.47,862071.77,2015-06-01
2015,7,902586.36,1149630.43,2015-07-01
2015,8,887796.85,919285.9,2015-08-01
2015,9,734654.22,754068.77,2015-09-01
2015,10,834285.95,1163425.95,2015-10-01
2015,11,925431.0,904700.42,2015-11-01
2015,12,1047478.84,1113876.28,2015-12-01
2016,1,1084043.63,987507.78,2016-01-01
2016,2,1055672.64,1167227.96,2016-02-01
2016,3,1107296.65,1498844.95,2016-03-01
2016,4,1149175.19,1137213.1,2016-04-01
2016,5,1019984.4,1035544.08,2016-05-01
2016,6,888538.1,800222.53,2016-06-01
2016,7,883716.04,859222.62,2016-07-01
2016,8,866270.02,701185.75,2016-08-01
2016,9,877800.56,1274128.31,2016-09-01
2016,10,916410.7,927923.5,2016-10-01
2016,11,1019671.97,957656.05,2016-11-01
2016,12,1113827.1,1303735.78,2016-12-01
2017,1,1079339.3,842993.49,2017-01-01
2017,2,1052536.01,844676.98,2017-02-01
2017,3,1216423.42,1351787.92,2017-03-01
2017,4,1032813.29,1406022.43,2017-04-01
2017,5,1034806.24,889926.86,2017-05-01
2017,6,897511.89,902659.0,2017-06-01
2017,7,938887.64,994338.3,2017-07-01
2017,8,950188.14,846696.35,2017-08-01
2017,9,894363.58,925397.87,2017-09-01
2017,10,935986.17,740198.57,2017-10-01
2017,11,1038598.26,1135350.1,2017-11-01
2017,12,1117711.45,1305047.55,2017-12-01
2018,1,1105628.89,1153831.89,2018-01-01
2018,2,1072071.67,921684.12,2018-02-01
2018,3,1194136.18,889227.1,2018-03-01
2018,4,1108452.97,696962.77,2018-04-01
2018,5,1009750.15,1592580.34,2018-05-01
2018,6,930065.0,777679.91,2018-06-01
2018,7,950343.54,793683.41,2018-07-01
2018,8,991818.15,1281364.78,2018-08-01
2018,9,882303.53,896266.43,2018-09-01
2018,10,969095.04,992682.04,2018-10-01
2018,11,1061941.91,899588.34,2018-11-01
2018,12,1106130.25,792198.66,2018-12-01
2019,1,1152949.52,1195728.2,2019-01-01
2019,2,1103358.49,1208476.16,2019-02-01
2019,3,1228025.34,1550052.84,2019-03-01
2019,4,1160125.11,1215209.05,2019-04-01
2019,5,1134666.18,1011872.87,2019-05-01
2019,6,1012030.47,1029100.9,2019-06-01
2019,7,1030649.68,1056569.11,2019-07-01
2019,8,1070198.1,1167556.89,2019-08-01
2019,9,973358.44,717490.02,2019-09-01
2019,10,1043629.53,1160570.85,2019-10-01
2019,11,1122734.55,1122990.69,2019-11-01
2019,12,1175724.83,1098972.39,2019-12-01
2020,1,1184419.19,999181.2,2020-01-01
2020,2,1233250.24,1237018.37,2020-02-01
2020,3,1100813.77,1367335.14,2020-03-01
2020,4,867592.28,834366.52,2020-04-01
2020,5,828743.95,691066.44,2020-05-01
2020,6,782327.99,1066148.05,2020-06-01
2020,7,870354.89,779930.57,2020-07-01
2020,8,885200.72,791258.19,2020-08-01
2020,9,959013.35,1021360.83,2020-09-01
2020,10,1064005.3,891340.69,2020-10-01
2020,11,1072873.46,1152909.51,2020-11-01
2020,12,1276290.85,1050560.83,2020-12-01
2021,1,1220513.47,1185644.96,2021-01-01
2021,2,1272593.63,1076824.67,2021-02-01
2021,3,1417534.72,1345110.18,2021-03-01
2021,4,1268514.31,1250171.58,2021-04-01
2021,5,1188244.26,1352156.27,2021-05-01
