Anio,Mes,Consumo,Importacion,Fechas
2000,1,202645.2,,2000-01-01
2000,2,205530.96,,2000-02-01
2000,3,229499.56,,2000-03-01
2000,4,210680.4,,2000-04-01
2000,5,208164.34,,2000-05-01
2000,6,195088.74,,2000-06-01
2000,7,204556.77,,2000-07-01
2000,8,218388.51,,2000-08-01
2000,9,213906.96,,2000-09-01
2000,10,213606.65,,2000-10-01
2000,11,209227.48,,2000-11-01
2000,12,230020.7,,2000-12-01
2001,1,164547.35,177776.5,2001-01-01
2001,2,174838.81,123115.99,2001-02-01
2001,3,201992.65,161726.42,2001-03-01
2001,4,198683.39,127338.74,2001-04-01
2001,5,182504.09,168730.19,2001-05-01
2001,6,201379.48,152899.09,2001-06-01
2001,7,214980.24,136299.13,2001-07-01
2001,8,204646.77,139365.07,2001-08-01
2001,9,188292.35,233643.75,2001-09-01
2001,10,225240.95,141550.22,2001-10-01
2001,11,210324.95,165841.46,2001-11-01
2001,12,223209.95,149217.67,2001-12-01
2002,1,200309.85,178585.93,2002-01-01
2002,2,183119.34,144447.25,2002-02-01
2002,3,212711.71,104673.64,2002-03-01
2002,4,204765.62,190339.0,2002-04-01
2002,5,201083.51,194830.1,2002-05-01
2002,6,187629.42,137050.8,2002-06-01
2002,7,201692.64,222408.0,2002-07-01
2002,8,205240.77,143795.0,2002-08-01
2002,9,177614.8,156956.9,2002-09-01
2002,10,203097.24,195426.8,2002-10-01
2002,11,207629.81,153185.7,2002-11-01
2002,12,199619.27,167596.71,2002-12-01
2003,1,193713.62,228269.5,2003-01-01
2003,2,184354.61,214490.7,2003-02-01
2003,3,201443.37,161257.48,2003-03-01
2003,4,219004.31,189824.89,2003-04-01
2003,5,200407.18,269981.86,2003-05-01
2003,6,168327.72,182254.23,2003-06-01
2003,7,174317.57,133668.2,2003-07-01
2003,8,171665.05,169903.86,2003-08-01
2003,9,174757.95,177217.53,2003-09-01
2003,10,209314.45,181668.03,2003-10-01
2003,11,168510.0,205624.08,2003-11-01
2003,12,196081.99,161477.73,2003-12-01
2004,1,203975.57,173427.23,2004-01-01
2004,2,180290.24,147939.23,2004-02-01
2004,3,206455.62,275539.38,2004-03-01
2004,4,182379.92,245156.34,2004-04-01
2004,5,160741.9,178387.8,2004-05-01
2004,6,164782.5,133341.0,2004-06-01
2004,7,182642.41,152075.75,2004-07-01
2004,8,207432.8,208592.85,2004-08-01
2004,9,194240.55,218499.24,2004-09-01
