Anio,Mes,Consumo,Importacion,Fechas
2000,1,308156.82,,2000-01-01
2000,2,307766.31,,2000-02-01
2000,3,331910.29,,2000-03-01
2000,4,315648.08,,2000-04-01
2000,5,319667.97,,2000-05-01
2000,6,300347.7,,2000-06-01
2000,7,308305.93,,2000-07-01
2000,8,323011.86,,2000-08-01
2000,9,326455.72,,2000-09-01
2000,10,323843.63,,2000-10-01
2000,11,320788.08,,2000-11-01
2000,12,366987.56,,2000-12-01
2001,1,300242.78,373963.96,2001-01-01
2001,2,301483.4,243091.07,2001-02-01
2001,3,355572.83,312084.38,2001-03-01
2001,4,355826.76,285054.89,2001-04-01
2001,5,336040.04,300913.67,2001-05-01
2001,6,308804.7,333217.19,2001-06-01
2001,7,350501.97,195071.86,2001-07-01
2001,8,348414.65,268153.26,2001-08-01
2001,9,324393.96,308439.07,2001-09-01
2001,10,366261.63,305102.28,2001-10-01
2001,11,351890.63,256638.19,2001-11-01
2001,12,403561.63,277145.05,2001-12-01
2002,1,368935.53,271479.0,2002-01-01
2002,2,348917.79,365657.75,2002-02-01
2002,3,385044.97,246292.6,2002-03-01
2002,4,379741.98,310256.3,2002-04-01
2002,5,375054.64,363311.76,2002-05-01
2002,6,371138.59,250123.19,2002-06-01
2002,7,399944.65,428842.8,2002-07-01
2002,8,392355.62,298280.33,2002-08-01
2002,9,347191.44,331053.7,2002-09-01
2002,10,381595.2,352055.5,2002-10-01
2002,11,384334.22,291188.76,2002-11-01
2002,12,400645.42,440677.81,2002-12-01
2003,1,376516.58,425185.5,2003-01-01
2003,2,355760.81,443849.85,2003-02-01
2003,3,361880.87,363352.66,2003-03-01
2003,4,377395.17,335444.69,2003-04-01
2003,5,390624.27,459025.69,2003-05-01
2003,6,346941.84,372486.53,2003-06-01
2003,7,377178.84,400922.97,2003-07-01
2003,8,355682.72,292365.04,2003-08-01
2003,9,348659.02,398192.16,2003-09-01
2003,10,392041.78,260219.92,2003-10-01
2003,11,330640.23,393951.96,2003-11-01
2003,12,391327.66,296780.15,2003-12-01
2004,1,381547.72,368235.14,2004-01-01
2004,2,339576.46,281891.97,2004-02-01
2004,3,379687.46,486880.82,2004-03-01
2004,4,357595.81,415426.0,2004-04-01
2004,5,322596.73,350052.95,2004-05-01
2004,6,318811.5,311238.01,2004-06-01
